죄종별(1),죄종별(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
죄종별(1),죄종별(2),계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종,계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종,계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종,계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종,계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종
죄종별(1),죄종별(2),계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과
폭력범죄,손괴,19887,3422,170,270,276,793,521,506,886,16465,386,604,684,2398,1901,2253,8239,19578,3139,155,245,310,786,458,361,824,16439,349,543,764,2464,1970,1953,8396,20169,2817,155,244,249,680,416,338,735,17352,342,632,788,2752,2089,2049,8700,22102,3010,169,252,253,742,441,386,767,19092,423,671,800,2900,2186,2285,9827,21845,3061,166,265,259,758,454,424,735,18784,329,669,868,2983,2181,2175,9579
지능범죄,소계,107511,37151,3684,3712,2848,12196,3760,4652,6299,70360,1681,2263,2528,13135,7203,10297,33253,107116,36513,3454,3293,3053,11773,3806,4434,6700,70603,1603,2050,2610,13087,7397,9126,34730,112410,39048,3259,3561,3335,12888,3902,4487,7616,73362,1681,2388,3097,14376,7506,9013,35301,109416,38642,3382,3636,3372,12777,3853,4445,7177,70774,1634,2289,2933,13824,7300,8791,34003,103353,35845,3013,3563,3400,11668,3603,4284,6314,67508,1510,2397,2858,12956,6945,8334,32508
지능범죄,직무유기,65,1,-,-,-,-,-,-,1,64,1,-,2,4,4,4,49,43,1,-,-,-,-,-,1,-,42,1,-,2,2,-,1,36,51,2,-,-,-,-,1,-,1,49,1,-,-,6,3,7,32,40,1,-,-,-,1,-,-,-,39,-,-,1,5,3,2,28,31,-,-,-,-,-,-,-,-,31,-,-,1,3,1,1,25
지능범죄,직권남용,37,2,-,-,-,-,-,1,1,35,1,2,2,1,1,2,26,37,1,1,-,-,-,-,-,-,36,1,-,-,1,5,4,25,31,2,-,-,-,-,-,1,1,29,2,-,-,5,1,3,18,29,-,-,-,-,-,-,-,-,29,-,1,-,2,1,6,19,54,3,-,-,-,1,-,-,2,51,-,-,-,2,2,1,46
지능범죄,증수뢰,424,35,1,1,-,12,5,4,12,389,2,3,6,34,27,33,284,387,29,1,1,1,8,1,3,14,358,1,2,3,38,21,34,259,330,22,1,-,-,9,-,5,7,308,-,3,8,40,22,17,218,378,15,-,-,-,7,1,3,4,363,3,-,8,54,19,34,245,552,48,1,-,2,9,14,6,16,504,6,4,8,61,27,51,347
지능범죄,통화,91,14,3,1,2,4,-,2,2,77,3,4,5,12,7,9,37,76,24,3,5,2,5,-,6,3,52,-,3,4,6,3,9,27,79,24,4,-,2,7,3,1,7,55,2,4,6,16,8,8,11,65,15,4,4,1,-,3,1,2,50,-,3,4,16,12,8,7,118,11,2,-,2,2,-,1,4,107,-,2,5,17,13,23,47
지능범죄,문서?인장,6602,1356,86,123,127,465,151,180,224,5246,144,169,166,1020,536,719,2492,6442,1385,95,110,118,506,154,175,227,5057,112,135,200,923,578,648,2461,6293,1334,80,99,152,459,163,142,239,4959,123,166,218,1025,529,602,2296,5915,1375,128,134,133,545,107,161,167,4540,116,149,190,950,470,490,2175,4964,1050,76,113,100,368,116,124,153,3914,114,145,168,765,405,442,1875
지능범죄,유가증권인지,174,44,4,3,2,8,5,12,10,130,-,3,1,24,10,15,77,203,40,1,-,-,17,-,6,16,163,1,3,7,28,19,26,79,146,32,4,1,-,8,5,4,10,114,1,1,3,26,12,11,60,125,29,-,7,1,10,3,2,6,96,1,5,11,11,11,14,43,126,27,3,1,2,13,-,4,4,99,-,2,7,17,17,17,39
지능범죄,사기,85967,33930,3504,3455,2605,11155,3384,4205,5622,52037,1275,1760,1949,10010,5406,7858,23779,85702,33177,3261,3060,2784,10602,3434,4009,6027,52525,1260,1618,1988,9962,5538,6971,25188,90102,35611,3072,3333,3055,11755,3513,4045,6838,54491,1279,1844,2346,11025,5649,6813,25535,87713,35130,3156,3354,3097,11546,3500,4012,6465,52583,1259,1803,2259,10636,5568,6680,24378,82948,32813,2849,3305,3142,10712,3263,3889,5653,50135,1178,1909,2241,10069,5323,6358,23057
지능범죄,횡령,12057,1564,83,117,108,478,195,209,374,10493,228,303,349,1743,1054,1437,5379,11464,1567,81,104,120,510,182,210,360,9897,194,257,312,1785,1006,1175,5168,13412,1881,89,122,118,608,202,271,471,11531,249,341,463,1963,1122,1356,6037,13254,1920,90,132,132,612,228,239,487,11334,231,299,414,1897,1090,1339,6064,12568,1758,79,136,145,520,197,233,448,10810,200,308,386,1773,1017,1245,5881
지능범죄,배임,2094,205,3,12,4,74,20,39,53,1889,27,19,48,287,158,220,1130,2762,289,11,13,28,125,35,24,53,2473,33,32,94,342,227,258,1487,1966,140,9,6,8,42,15,18,42,1826,24,29,53,270,160,196,1094,1897,157,4,5,8,56,11,27,46,1740,24,29,46,253,126,218,1044,1992,135,3,8,7,43,13,27,34,1857,12,27,42,249,140,196,1191
풍속범죄,소계,29602,8364,258,391,526,1696,1055,1253,3185,21238,271,403,541,2291,1908,2888,12936,26048,7002,174,294,367,1250,937,921,3059,19046,232,384,518,2302,1796,2097,11717,26372,7339,206,291,352,1216,880,995,3399,19033,218,361,482,2175,1782,2089,11926,27886,6789,139,268,356,1190,874,917,3045,21097,232,429,617,2595,2033,2424,12767,22155,5782,102,241,282,1095,747,797,2518,16373,208,377,517,2073,1652,1783,9763
풍속범죄,성풍속범죄,7223,1592,176,169,203,502,180,164,198,5631,125,151,214,800,553,803,2985,5379,1085,82,104,95,370,153,115,166,4294,91,131,150,625,437,461,2399,5147,1156,116,80,77,338,174,144,227,3991,85,125,140,584,430,464,2163,4793,885,46,68,86,220,144,154,167,3908,75,108,182,578,427,466,2072,5126,1181,55,98,99,310,182,166,271,3945,76,149,190,649,450,477,1954
풍속범죄,도박범죄,22379,6772,82,222,323,1194,875,1089,2987,15607,146,252,327,1491,1355,2085,9951,20669,5917,92,190,272,880,784,806,2893,14752,141,253,368,1677,1359,1636,9318,21225,6183,90,211,275,878,706,851,3172,15042,133,236,342,1591,1352,1625,9763,23093,5904,93,200,270,970,730,763,2878,17189,157,321,435,2017,1606,1958,10695,17029,4601,47,143,183,785,565,631,2247,12428,132,228,327,1424,1202,1306,7809
특별경제범죄,소계,38951,8693,748,937,761,2774,945,1083,1445,30258,610,943,1098,4589,2980,4176,15862,41799,8675,586,830,821,2676,1077,1063,1622,33124,528,906,1253,5116,3365,3917,18039,41454,8630,665,808,807,2694,1026,997,1633,32824,571,1001,1331,5209,3571,3767,17374,38389,8031,617,761,764,2356,943,947,1643,30358,496,1023,1215,4908,3254,3648,15814,36691,7544,462,646,669,2222,981,976,1588,29147,485,798,1149,4488,3025,3789,15413
마약범죄,소계,3539,1852,39,65,84,491,341,392,440,1687,26,47,62,276,189,269,818,3462,1684,50,54,100,416,289,323,452,1778,30,49,65,317,195,215,907,4458,2197,46,96,99,540,387,479,550,2261,37,73,85,355,317,287,1107,5305,2503,79,112,161,618,440,493,600,2802,40,98,100,478,320,366,1400,5487,2755,74,142,203,847,449,478,562,2732,38,71,111,540,290,312,1370
보건범죄,소계,13413,4597,128,235,291,1254,546,643,1500,8816,96,180,216,995,706,1106,5517,12088,4479,106,224,297,1378,644,536,1294,7609,114,127,170,951,705,887,4655,11009,3990,122,182,293,1210,563,505,1115,7019,84,125,203,843,636,703,4425,11204,4047,78,158,280,1253,641,507,1130,7157,75,113,168,797,605,762,4637,9377,3288,78,129,197,938,440,457,1049,6089,50,95,149,736,527,647,3885
환경범죄,소계,2484,330,8,10,18,91,44,44,115,2154,16,40,44,242,157,284,1371,2057,261,2,13,17,89,32,35,73,1796,20,34,63,235,166,169,1109,2132,313,5,20,22,83,34,41,108,1819,14,31,55,200,164,169,1186,2538,344,4,26,31,116,45,37,85,2194,25,34,54,260,210,224,1387,2918,496,12,34,42,156,66,59,127,2422,24,48,62,333,211,253,1491
교통범죄,소계,275880,112307,1962,2836,3989,13929,11913,15681,61997,163573,1839,3901,5688,19139,16046,19878,97082,258330,105456,1443,2466,3990,13695,11856,12108,59898,152874,1579,3436,5371,18790,16092,15810,91796,256826,105882,1293,2723,4057,13885,12267,11600,60057,150944,1440,3615,5526,18787,16033,15761,89782,260344,107173,1912,3639,4866,15824,12010,12236,56686,153171,1683,4813,6423,21891,16943,15986,85432,224720,91005,1375,2697,3794,12664,9960,10432,50083,133715,1472,3889,5474,18208,14141,13980,76551
노동범죄,소계,1394,241,6,13,20,70,40,47,45,1153,5,16,37,155,118,171,651,1225,201,5,4,19,47,28,22,76,1024,12,18,29,133,87,107,638,1295,181,20,4,5,54,35,23,40,1114,7,20,21,134,101,148,683,2451,181,1,4,11,52,23,26,64,2270,14,21,30,313,137,230,1525,2019,192,5,10,21,45,48,16,47,1827,13,21,33,230,122,188,1220
안보범죄,소계,92,45,4,1,2,6,1,5,26,47,2,-,1,3,5,6,30,45,12,-,-,-,2,2,3,5,33,-,-,3,5,4,1,20,95,36,2,17,1,4,1,3,8,59,3,2,3,9,8,6,28,49,10,2,-,2,4,1,-,1,39,2,2,-,8,1,3,23,165,50,1,1,1,24,9,7,7,115,1,2,6,27,25,5,49
선거범죄,소계,199,21,-,-,-,5,1,4,11,178,7,1,3,14,16,13,124,1302,139,1,5,4,8,9,18,94,1163,21,12,26,108,76,92,828,612,26,2,2,1,1,-,2,18,586,9,5,11,44,30,48,439,662,80,4,3,2,8,6,10,47,582,6,6,11,59,37,56,407,380,23,1,-,1,3,6,1,11,357,3,6,11,48,30,34,225
병역범죄,소계,13022,4762,152,406,487,1955,699,588,475,8260,212,309,356,1819,1097,1425,3042,11390,4460,122,300,454,1973,689,501,421,6930,173,243,293,1580,976,1012,2653,11454,4775,134,375,540,2007,650,571,498,6679,138,242,313,1529,959,956,2542,9440,4003,114,325,465,1683,596,494,326,5437,94,186,295,1369,718,884,1891,8173,3096,80,257,400,1260,462,366,271,5077,84,191,273,1302,707,713,1807
기타범죄,소계,114621,24599,1101,1812,2011,6735,3498,3695,5747,90022,1718,2568,3150,12751,8976,11894,48965,120899,24754,891,1556,2002,6640,3695,3383,6587,96145,1489,2468,3365,14017,9943,10962,53901,122654,24051,952,1493,1930,6721,3555,3164,6236,98603,1521,2480,3419,14339,10138,11043,55663,158595,30404,1425,2379,2527,8464,4249,3878,7482,128191,1752,3255,4264,18159,13213,15104,72444,136641,26878,1095,1812,2437,7908,3676,3457,6493,109763,1400,2789,3767,15681,11109,12400,62617
